股票代碼,股票名稱,平均成交量,平均預期回報,波動率(標準差)
1102,亞洲水泥 ACC,118850.61411666666,0.0612630349152263,0.2311501639635539
1216,統一企業 PEC,195938.56405,0.0808661906463004,0.1719751123217603
1301,臺灣塑膠 FPC,145315.52892500002,0.0554683761925403,0.1706974490886111
1303,南亞塑膠 NPC,154250.39004166666,0.0466342052560877,0.214935994129191
1305,華夏塑膠 CGPC,84031.71510833334,0.1185615858709916,0.3478921352474224
1310,臺灣苯乙烯 T.S.M.C.,98522.22150833331,0.1151904255592819,0.3746141627607897
1314,中石化 CPDC,420699.0039416667,0.0308560095895493,0.3335676871182942
1326,臺灣化纖 FCFC,124043.81990833332,0.042457331585912,0.1928092378147392
1409,新光合纖 SSFC,139148.61937499998,0.035516017950063,0.2341621144503962
1440,台南紡織 Tainan Spinning,66665.53919166667,0.0176621282867486,0.2734970077388642
1444,力麗 LEALEA,87421.0628,0.0485678105368931,0.2874816380191906
1504,東元電機 TECO,123099.09786666666,0.0920318244789222,0.2272944920447084
2049,上銀科技 HIWIN,73374.04212499999,0.3264186542175882,0.4455303522704061
1605,華新麗華 WALSIN,271911.4718416667,0.0814003282600182,0.3263835977375717
1609,大亞電纜 TA YA,62233.70715833335,0.0679613761236506,0.2969628584837222
1909,榮成紙業 LCP,78366.53334166665,0.0927588160880945,0.3468478415252422
2027,大成鋼 TC,72799.06160833333,0.0591512229211013,0.2558837555459285
2101,南港輪胎 Nan Kang Rubber Tire,60577.59925,0.0433129753392496,0.2370207685868169
2204,中華汽車 China-Motor,71252.73787499998,0.1042380144513788,0.3209369047232241
2206,三陽工業 Sanyang Industry,82644.365725,0.1002699609559529,0.318873781198116
2501,國建 Cathay Const.,66122.72006666666,0.083111666225601,0.2623127128651978
2504,國產 CATHAYRED GDC,97569.33765833332,0.0332225957769547,0.2782212154282333
2511,太子 PHD,75004.09258333333,0.0106304102592436,0.28952911236118
2515,中工 BES,159049.06378333332,0.0153708614638126,0.231726969778395
2520,冠德 Kindom,86942.39198333332,0.092098671095347,0.378540867998409
2542,興富發 Highwealth,80726.05094957985,0.0534822316268368,0.2874474587980495
2603,長榮 EMC,257736.4743416667,0.0094937737664044,0.3093693660063602
2609,陽明 YMTC,254229.13046218487,0.0555632357220077,0.4905020218514334
2610,華航 CAL,340635.06084166665,0.0131600164524448,0.2732239215521165
2614,東森科 EMIC,94992.48767226892,0.221836721721536,0.7322058332678103
2615,萬海 WANHAI,67198.16769166666,0.0510481915171496,0.291744840038979
2618,長榮航 EVAAIR,301620.6652583333,0.0327909265018815,0.2654863129331961
2801,彰銀 C.H.B,269193.90945833334,0.0622653148542575,0.2061706945072079
2809,京城銀 KTB,59084.56515833333,0.173755592708132,0.2553199526333923
2812,中商銀 TCCB,97209.47555,0.0486652470485053,0.1528777024527713
2820,華票 CBF,58139.02118487395,0.0586006238968603,0.1421234680516265
2823,中國人壽 CHINA LIFE,285318.7797416666,0.0389803207056433,0.2654127346938297
2834,台灣企銀 TBB,277850.3532166666,0.0572816946983465,0.171966355572096
2845,遠東商銀 FEIB,72329.57759166668,0.0147336931188919,0.1746995426924193
2880,華南金 HNFHC,167650.99188333334,0.022405777949858,0.1647384174088714
2883,開發金 CDIBH,663185.2798833332,0.0261783000005362,0.2400487647818882
2884,玉山金 E.SUN FHC,331119.1706416666,0.0980697017282652,0.2029156032392851
2885,元大金 Yuanta Group,495682.145775,0.0091622519066378,0.2190267975698019
2886,兆豐金 MEGA FHC,455490.9023083333,0.0720292173679599,0.1956724962403865
2889,國票金 Waterland Holdings,81127.65106666666,0.0246429972249819,0.1875919308459453
2890,永豐金控 SINOPACHOLDINGS,362829.4612083333,0.0241110093202661,0.2150439180492794
2892,第一金 FFHC,374455.836475,0.0337443997768316,0.1797787847381966
2903,遠東百貨 FEDS,100981.25540833332,0.0107099658040963,0.2995926847944708
2913,臺灣農林 TTC,75388.69468333333,0.0098534160815382,0.2477458993124035
2915,潤泰全球 RUENTEX IND. LTD,86336.60527500001,0.0765056209529635,0.3158695271143655
1710,東聯化學 OUCC,91510.482925,0.016707125658161,0.2737253370259511
1718,中國人纖 CMFC,166588.64153333334,0.0597331140829007,0.2960141334401264
6505,台塑化 FPCC,60301.45526666666,0.0359566674569948,0.1929080861155745
2303,聯電 UMC,993899.2191833336,0.026025394260789,0.2456324891407776
2329,華泰 OSE,67460.71282500001,0.1155967664283055,0.4383817534251771
2330,台積電 TSMC,780377.9150916666,0.1940353582480212,0.1691084528379856
2344,華邦電 WEC,541818.5849583333,0.1746828592024802,0.4429736819759489
2369,菱生 LPI,71943.39026666667,0.0041703223639224,0.3075900909371653
2379,瑞昱 RT,80460.65501666667,0.1506863663790667,0.3184704839140984
2436,偉詮電 Weltrend,59102.25690833333,0.0523665165574191,0.3777053024172349
2449,京元電 KYEC,156515.6620916667,0.1386010773319117,0.2849438955914945
2454,聯發科 MediaTek,163125.2932083333,0.0150403263805245,0.2742976387526178
2458,義隆 Elan,127766.46996666669,0.1039712162831916,0.3247611744365398
2481,強茂 Pan Jit,107427.30371666668,0.096897859341601,0.4273932018472173
3006,晶豪科 ESMT,89982.10871666667,0.0445954351521349,0.4068667253665137
3034,聯詠 NOVATEK,87813.14558333332,0.1077559362378266,0.2481403737081775
3035,智原 Faraday,107686.56187499998,0.0908922044545981,0.475851117033954
3189,景碩 KINSUS,76399.25480000001,0.0025842858089908,0.3256138306759601
6239,力成 PTI,103287.01673333332,0.0330235784758443,0.2867924304613689
