股票代碼,股票名稱,本月成交量(千股),本月成交值(千元),本月底市價(元),上月底市價(元),本月平均價(元),發行股份(千股),上市股份(千股),資本額(百萬元),預期回報
3231,緯創 Wistron,344760.797,21988018.607,60.9,62.1,63.78,1850615.826,1822961.673,18506.15826,-0.019323671497584585
3494,誠研 HiTi,78087.451,3286302.67,40.5,32.9,42.08,111258.362,111258.362,1112.58362,0.23100303951367787
3515,華擎 ASROCK,11162.96,1608185.555,131,157.5,144.06,115041.629,115041.629,1150.41629,-0.16825396825396827
6117,迎廣 IN WIN,66432.855,1731728.771,23.3,19.55,26.07,88650.0,88650.0,886.5,0.1918158567774936
6128,上福 GPI,16353.072,826014.716,44.2,53.6,50.51,83788.459,83788.459,837.8845900000001,-0.1753731343283582
6166,凌華 ADLINK,10518.917,304798.132,27.15,29,28.98,119957.72,119957.72,1199.5772,-0.0637931034482759
6206,飛捷 FLYTECH,8911.54,750276.714,79.8,88.2,84.19,78694.001,78694.001,786.94001,-0.0952380952380953
6235,華孚科技 Waffer,72462.149,828094.365,10,11.4,11.43,232905.211,232905.211,2329.0521100000005,-0.12280701754385967
6277,宏正 ATEN,14544.221,952608.45,57.5,66.2,65.5,119471.166,119471.166,1194.71166,-0.13141993957703932
9912,偉聯科技 AIC,10037.011,110252.236,11.8,9.2,10.98,46087.361,46087.361,460.87361,0.2826086956521741
2323,中環 CMC,1217873.727,10821194.587,8.13,8.27,8.89,2849120.814,2849120.814,28491.208139999995,-0.01692865779927434
2340,光磊 OPTO,345181.669,10168277.475,26.2,28.6,29.46,526600.871,526600.871,5266.008710000001,-0.08391608391608399
2349,錸德 RITEK,1317237.062,11554485.967,8.14,8.8,8.77,2614498.937,2614498.937,26144.98937,-0.07500000000000001
2374,佳能 Ability,182459.523,11383966.445,56.5,62.8,62.39,437401.407,437401.407,4374.01407,-0.10031847133757958
2393,億光 Everlight,113607.718,12085464.322,98.4,120,106.38,410234.155,410234.155,4102.34155,-0.17999999999999997
2406,國碩 Gigastorage,178250.52,5939363.205,29.1,35.45,33.32,176934.269,176934.269,1769.34269,-0.17912552891396336
2409,友達 AUO,1396209.463,55043118.752,35.85,38.8,39.42,8827045.535,8637954.818,88270.45534999999,-0.07603092783505144
2426,鼎元 Tyntek,111240.569,3326215.834,26.75,31.25,29.9,341873.741,341823.741,3418.73741,-0.144
2448,晶元 Epistar,182560.252,20164486.115,101.5,120,110.45,768965.101,759607.144,7689.65101,-0.15416666666666667
2466,冠西電 Cosmo,8880.706,315482.451,31.95,32.65,35.52,132822.665,99822.665,1328.22665,-0.02143950995405817
2486,一詮 I-Chiun,99356.525,5212216.19,49.2,55.2,52.46,202204.922,202204.922,2022.04922,-0.10869565217391304
2489,瑞軒 Amtran,227459.811,8222334.157,31.95,38.45,36.15,741858.504,741858.504,7418.585039999999,-0.16905071521456444
2499,東貝 UNI,112050.228,6604425.975,51.7,63.6,58.94,259204.614,259204.614,2592.04614,-0.1871069182389937
3008,大立光 LARGAN,31544.655,12918707.397,417,421,409.54,134140.197,134140.197,1341.4019699999997,-0.009501187648456057
3019,亞洲光學 ASIA,255022.524,18679455.384,66.7,71.2,73.25,259127.514,259127.514,2591.27514,-0.06320224719101124
3024,憶聲 ACN,67410.261,927681.994,11.4,14.8,13.76,322143.2,322143.2,3221.432,-0.22972972972972974
3031,佰鴻 BRIGHT,55582.961,2559799.753,39.5,48.3,46.05,194682.4,194682.4,1946.824,-0.18219461697722564
3038,全台 EDT,56345.704,738283.658,11.8,14,13.1,211107.603,211107.603,2111.07603,-0.15714285714285708
3049,和鑫 SINTEK,605096.486,15653209.393,23,28.2,25.87,843589.786,843589.786,8435.89786,-0.18439716312056736
3050,鈺德 U-Tech,335174.673,5478490.88,15.8,14.05,16.35,211411.636,211411.636,2114.11636,0.12455516014234874
3059,華晶科 Altek,81004.624,5036853.267,56.8,65.2,62.18,374856.909,374856.909,3748.56909,-0.12883435582822095
3406,玉晶光 GENIUS,8488.945,447053.205,47.5,57,52.66,77039.063,77039.063,770.3906299999999,-0.16666666666666666
3481,群創 INNOLUX,928884.158,49293846.731,52.6,47.45,53.07,3244596.17,3244596.17,32445.9617,0.1085353003161222
3504,揚明光 Young Optics,89360.237,24811934.408,259.5,262,277.66,107314.785,107314.785,1073.14785,-0.009541984732824428
3535,晶彩科 Favite,110836.831,3719161.981,35,28.35,33.56,77819.619,77819.619,778.1961900000001,0.23456790123456783
3557,嘉威光電 Gamma,44849.595,1779301.791,35.75,41.7,39.67,99485.6,92953.058,994.856,-0.1426858513189449
3576,新日光 NSP,185431.813,12374890.759,61.5,80.8,66.74,210682.309,210682.309,2106.82309,-0.23886138613861382
3593,力銘科技 logah,80445.782,3726226.057,42.05,44.8,46.32,112743.058,112743.058,1127.43058,-0.061383928571428575
3622,洋華 YFO,55756.614,19491981.699,319,351.5,349.59,131643.0,131643.0,1316.43,-0.09246088193456614
5305,敦南 LSC,162936.198,3765971.3,20.3,24.15,23.11,447397.555,447397.555,4473.97555,-0.1594202898550724
5484,慧友 EverFocus,16484.582,444822.111,24.5,27.1,26.98,114322.796,114322.796,1143.22796,-0.09594095940959414
6120,輔祥 FORHOUSE,139127.312,5578394.249,33.7,44.8,40.1,296255.254,296255.254,2962.55254,-0.24776785714285704
6164,華興電子 LEDTECH,29454.72,852323.826,25.5,29.6,28.94,116111.942,116111.942,1161.11942,-0.13851351351351354
6168,宏齊 HARVATEK CORPOR,105444.031,3672360.696,31.8,33.7,34.83,183543.869,183543.869,1835.43869,-0.05637982195845703
6176,瑞儀 ROEC,103226.106,4749490.883,44.25,46.55,46.01,413520.699,413520.699,4135.206990000001,-0.049409237379162134
6209,今國光學 KINKO,169473.001,4263108.47,24.4,23.1,25.16,146108.814,146108.814,1461.08814,0.05627705627705615
6226,光鼎電子 Para Light,31498.17,534845.053,14.7,18.15,16.98,84699.249,84699.249,846.99249,-0.19008264462809915
8072,陞泰科技 AV TECH,23264.072,2645806.913,115.5,107.5,113.73,100000.0,100000.0,1000.0,0.07441860465116279
8105,凌巨 GiantPlus,73978.162,1514188.116,18.1,21.15,20.47,407528.104,254546.347,4075.28104,-0.14420803782505898
2314,台揚 MTI,363957.438,6735085.684,19.6,16.2,18.51,412968.203,412968.203,4129.68203,0.20987654320987667
2332,友訊 D-Link,242087.838,8386110.059,33.7,33.7,34.64,647580.265,647580.265,6475.8026500000005,0.0
2345,智邦 Accton,163646.595,2467133.677,14.2,15.55,15.08,505019.109,505019.109,5050.19109,-0.08681672025723482
2402,毅嘉 ICHIA,75944.195,1522490.032,17.8,21.9,20.05,330690.757,330690.757,3306.90757,-0.18721461187214603
2412,中華電信 CHT,-,-,-,-,-,10666488.999,10666488.999,106664.88999,
2419,仲琦 Hitron,98653.086,2224660.173,20.8,22.3,22.55,138688.361,138688.361,1386.88361,-0.06726457399103139
2439,美律 Merry,58957.232,3781296.829,61.8,66.7,64.14,159089.625,159089.625,1590.89625,-0.07346326836581718
2444,友旺 Abo-Com,17789.714,256652.763,12.1,16,14.43,124019.94,108601.26,1240.1994,-0.24375000000000002
2450,神腦 Senao,29188.222,1440715.111,46.5,48.1,49.36,248713.707,248713.707,2487.13707,-0.033264033264033294
2455,全新 VPEC,50376.57,3981154.908,70.9,87.8,79.03,137693.325,137676.325,1376.93325,-0.19248291571753978
2485,兆赫 Zinwell,209045.764,13344521.718,64.8,61.7,63.84,317689.037,317689.037,3176.89037,0.050243111831442366
2498,宏達電 HTC,194053.863,69867252.171,315,366.5,360.04,788935.844,788935.844,7889.35844,-0.14051841746248295
3025,星通 Loop,17329.071,355734.769,18.2,21.25,20.53,77639.65,77639.65,776.3965,-0.1435294117647059
3027,盛達 BILLION,32365.432,883719.248,23.35,28.3,27.3,96215.341,96215.341,962.15341,-0.17491166077738513
3045,台灣大哥大 TWM,85021.039,5227388.38,61.9,62.4,61.48,3800925.363,3800925.363,38009.25362999999,-0.008012820512820514
3047,訊舟 EDIMAX,164830.723,4417276.016,23,26.35,26.8,120566.195,120566.195,1205.6619500000002,-0.12713472485768507
3062,建漢 CyberTAN,109093.958,5299112.106,44.9,49.7,48.57,331267.418,331267.418,3312.67418,-0.09657947686116708
3311,閎暉 Silitech,26678.335,3048491.363,113,115,114.27,175943.774,175943.774,1759.43774,-0.017391304347826087
3380,明泰 Alpha,132755.16,3857832.105,28.05,28.15,29.06,464203.53,464203.53,4642.0353000000005,-0.0035523978685612035
3419,譁裕 WHAYU,30887.189,636492.388,19.2,19.9,20.61,79562.329,79562.329,795.62329,-0.03517587939698489
3596,智易科技 Arcadyan,32236.877,2735722.233,79.4,90,84.86,122420.783,122420.783,1224.20783,-0.11777777777777772
4904,遠傳 Far EasTone,171229.425,6492542.488,38.8,38.15,37.92,3258500.81,3258500.81,32585.008100000003,0.0170380078636959
4906,正文 Gemtek,98617.431,5581676.44,54.2,57.8,56.6,276712.312,276712.312,2767.12312,-0.06228373702422136
5388,中磊 SERCOMM,69776.523,1826691.85,23.6,26,26.18,170944.969,170944.969,1709.44969,-0.09230769230769226
6136,富爾特 FTC,85295.421,3130638.672,33.5,34.2,36.7,95484.639,95484.639,954.84639,-0.020467836257310024
6142,友勁 CAMEO,94220.872,1750545.257,17.25,18.6,18.58,227533.506,227533.506,2275.33506,-0.0725806451612904
6152,百一 PRIME,19116.444,715315.873,33.6,40,37.42,139640.029,139640.029,1396.40029,-0.15999999999999998
6216,居易 Draytek Corp.,30138.191,831152.968,24.35,27.05,27.58,74149.137,74149.137,741.49137,-0.09981515711645099
6283,淳安電子 SOE,23080.039,386478.867,14.55,17.65,16.75,92880.528,92880.528,928.80528,-0.17563739376770526
6285,啟碁 WNC,87000.517,4581869.969,51,55.4,52.66,252171.143,252171.143,2521.7114300000003,-0.07942238267148012
8101,華冠 Arima Comm.,135159.97,2084612.135,14,14.7,15.42,368478.438,368478.438,3684.784380000001,-0.047619047619047575
1582,信錦 SYNCMOLD,28262.791,2154609.011,68.5,84.5,76.23,135375.5,135375.5,1353.755,-0.1893491124260355
2059,川湖 king slide,25574.379,4708614.685,175.5,174,184.11,87138.588,87138.588,871.38588,0.008620689655172414
2308,台達電 Delta Electronics,134605.393,13038531.905,97,100,96.86,2253523.956,2253523.956,22535.23956,-0.03
2313,華通 COMPEQ MFG.,373361.922,3917317.772,9.18,11.65,10.49,1191820.589,1191820.589,11918.20589,-0.2120171673819743
2316,楠梓電 WUS,116958.951,1409045.999,11.85,12.15,12.05,433227.74,433227.74,4332.2774,-0.024691358024691416
2327,國巨 Yageo,384095.28,4530587.887,11.15,11.7,11.8,2194862.305,2194862.305,21948.62305,-0.04700854700854692
2328,廣宇 Pan-International,177790.102,9988168.332,52.4,58,56.18,487903.158,487903.158,4879.03158,-0.09655172413793106
2355,敬鵬 Chin-Poon,85163.723,2377406.966,25.1,28.95,27.92,397495.42,397495.42,3974.9542,-0.13298791018998266
2367,燿華 Unitech,88412.056,1146960.656,11.35,13.85,12.97,448291.247,431470.861,4482.912469999999,-0.18050541516245489
2368,金像 GCE,109950.85,1447835.382,12.1,13.8,13.17,569175.841,569175.841,5691.75841,-0.12318840579710152
2375,智寶 Teapo,121468.536,656588.517,5.04,5.1,5.41,364454.066,364454.066,3644.54066,-0.011764705882352865
2383,台光電 EMC,100730.864,2409390.239,21.5,24.3,23.92,269015.857,269015.857,2690.1585700000005,-0.1152263374485597
2392,正崴 FOXLINK,125190.066,8889816.66,65.5,74.8,71.01,453965.472,453965.472,4539.65472,-0.12433155080213901
2413,環科 UMEC,63446.939,1071674.38,14.4,16.9,16.89,132252.2,132252.2,1322.522,-0.14792899408284013
2415,錩新 Cx Tech,8131.844,111716.627,11.9,14.5,13.74,83112.411,83112.411,831.1241099999999,-0.17931034482758618
2420,新巨 Zippy,79683.798,2086240.754,24,25.65,26.18,155965.688,155965.688,1559.65688,-0.06432748538011691
2421,建準 Sunon,73290.42,1997960.777,26.6,28.8,27.26,257929.732,257929.732,2579.29732,-0.07638888888888887
2428,興勤 TKS,33230.584,1954860.217,52,62,58.83,117109.57,117109.57,1171.0957,-0.16129032258064516
2431,聯昌 Lien Chang,48972.888,1203162.973,20.15,25.05,24.57,97857.783,97857.783,978.57783,-0.19560878243512983
2440,太空梭 Space Shuttle,31407.304,403791.458,11.5,14.05,12.86,139117.271,103664.333,1391.17271,-0.18149466192170824
2456,奇力新 Chilisin,89133.769,2150910.963,23.1,23.7,24.13,152497.552,152497.552,1524.97552,-0.02531645569620244
2457,飛宏 Phihong,233080.698,7566098.957,31.05,31.1,32.46,367587.91,367587.91,3675.8791,-0.0016077170418006658
2460,建通 Gem,14830.685,386864.068,24.15,27.35,26.09,171598.0,171598.0,1715.98,-0.117001828153565
