stock code,weights
1216,0.3481507937589478
1301,0.06464220344543731
1326,0.09867760540179871
2511,0.0002109779612249992
2801,2.9218446125798607e-06
2913,8.09735395031182e-06
2329,2.1386418871221716e-05
2449,3.4445510494465327e-06
2352,1.5213942198537692e-06
3017,2.3233400771194683e-06
2323,0.06385736385794219
2349,0.029791435980838003
2406,0.02090718351446545
2426,4.734938509852398e-06
6176,0.03294369987609181
6209,0.02842511606054634
6285,0.009302526986345046
2367,0.0782360519630793
8163,1.356757427088772e-06
9904,0.22480925459456563
